sr,rr,t,lm,bo,rem,sr.1,hr,sl
89.75,28.45,98.21,17.93,82.34,108.44,2.23,92.57,4
69.24,19.89,94.03,8.71,94.23,77.12,7.03,68.93,1
88.43,22.53,96.9,15.01,88.09,93.52,3.24,82.69,3
89.19,24.66,97.04,13.23,90.55,91.64,3.76,85.51,3
79.79,22.94,96.39,13.53,88.83,97.4,5.04,87.61,3
82.94,25.23,97.29,14.08,86.95,98.57,3.71,89.36,3
65.62,20.68,95.64,12.83,94.25,88.26,5.07,74.22,2
85.62,24.69,96.35,15.55,88.16,97.06,3.98,83.44,3
66.68,19.78,95.21,8.8,94.05,73.07,7.09,65.62,1
82.73,22.94,97.82,14.15,88.04,102.1,3.66,86.48,3
87.73,25.53,96.91,13.33,86.88,93.77,4.57,79.57,3
46.4,17.92,92.71,5.33,96.44,69.91,7.46,56.68,0
86.42,23.25,97.32,12.44,89.56,94.77,4.27,78.78,3
90.75,25.1,98.76,17.87,83.41,106.77,3.47,92.22,4
79.48,25.37,96.52,14.57,89.52,89.66,3.22,89.9,3
47.72,17.55,93.94,6.48,96.45,70.63,7.22,60.26,0
55.51,19.89,94.8,9.26,96.12,69.25,6.18,67.02,1
82.41,21.82,97.73,15.81,89.63,99.2,3.75,86.77,3
76.37,21.53,96.72,12.16,91.4,85.15,6.22,72.87,2
68.0,18.24,94.95,8.14,96.44,73.59,7.21,66.42,1
68.37,20.19,95.05,9.15,93.54,75.52,5.86,67.77,2
96.58,25.61,98.15,19.51,86.53,116.23,2.28,97.9,4
95.98,27.11,99.09,16.36,84.49,118.12,2.17,95.87,4
76.73,22.25,95.06,13.43,92.04,83.27,4.28,79.55,2
78.03,21.95,96.89,10.17,94.22,77.63,6.17,76.29,2
89.0,25.03,98.47,17.89,87.49,110.99,1.99,104.3,4
90.83,27.0,99.09,18.86,88.57,102.9,3.24,99.67,4
48.42,18.31,93.12,5.1,97.28,62.48,8.93,64.54,0
89.08,29.03,98.55,16.76,83.24,101.11,3.12,88.2,4
63.5,19.39,95.28,8.34,96.25,66.5,6.76,62.11,1
98.32,28.46,98.18,18.92,85.42,112.07,3.61,100.31,4
50.3,15.98,93.31,5.08,97.62,66.23,7.41,61.74,0
79.47,22.65,97.76,16.18,88.94,95.84,4.35,85.33,3
58.81,17.59,92.7,5.29,96.9,57.39,7.86,58.56,0
86.0,23.64,97.78,15.38,91.32,89.1,3.96,85.7,3
54.2,17.15,92.18,5.73,97.0,56.95,7.21,56.62,0
74.26,20.96,96.73,13.01,92.73,78.25,4.99,80.59,2
91.78,29.88,98.75,17.52,88.6,116.18,2.46,102.35,4
82.86,21.82,96.45,12.46,90.59,86.15,5.27,81.41,2
73.15,19.9,95.56,9.38,93.09,85.77,6.28,77.24,2
55.83,17.23,94.04,6.39,98.0,59.89,8.98,59.83,0
62.79,18.68,94.68,6.26,94.78,73.18,7.23,65.56,1
97.13,27.14,98.01,16.33,83.25,106.3,1.67,96.66,4
68.05,22.27,96.49,12.17,94.15,84.87,6.5,75.07,2
64.58,21.32,95.58,9.78,94.57,86.95,5.41,76.41,2
60.54,19.34,94.84,7.43,95.94,71.12,7.11,71.36,1
69.98,18.0,94.88,9.85,95.85,79.2,5.94,63.74,1
48.31,18.33,92.23,4.18,96.16,67.95,7.21,58.6,0
46.29,18.16,93.04,6.52,96.06,66.45,8.76,62.14,0
78.4,25.01,97.64,15.23,87.9,102.92,3.97,77.65,3
73.48,22.03,96.38,11.74,92.09,78.61,5.4,73.9,2
72.94,21.31,96.18,9.03,92.31,77.91,6.05,78.33,2
69.04,21.33,96.93,10.86,91.17,76.04,5.82,74.36,2
79.16,23.0,97.29,15.71,91.09,97.09,4.49,81.15,3
93.44,27.82,98.85,16.44,83.22,108.69,3.38,102.79,4
96.47,26.94,98.91,17.53,83.56,120.33,2.46,90.79,4
90.72,22.53,96.87,14.36,88.52,90.81,4.61,84.22,3
88.94,24.15,96.66,14.87,87.4,88.71,4.86,81.81,3
47.71,17.13,93.5,6.76,97.76,63.34,7.87,63.5,0
76.95,22.78,96.95,13.49,91.76,83.99,4.38,75.02,3
77.59,20.39,95.39,12.97,94.84,87.65,5.17,77.16,2
67.7,19.8,95.59,12.02,94.3,76.81,5.24,77.4,2
65.37,19.2,94.76,7.68,95.48,73.31,6.72,71.96,1
75.24,21.27,95.55,11.52,92.09,88.13,5.48,78.55,2
74.39,20.58,95.8,12.13,93.97,77.92,5.33,75.76,2
97.23,29.86,98.94,18.48,88.58,105.74,3.44,94.3,4
80.38,22.24,96.92,14.29,89.97,88.78,4.56,80.3,3
69.21,21.17,96.05,9.97,93.37,84.15,5.92,72.49,2
44.99,16.49,93.49,4.66,97.02,63.23,8.85,60.09,0
95.84,26.19,98.54,16.16,87.86,120.11,3.76,89.06,4
55.62,18.33,92.55,4.73,97.7,57.08,8.62,64.78,0
82.8,22.09,96.54,12.38,91.24,99.26,4.53,89.13,3
97.56,27.96,98.16,17.56,84.65,116.31,2.37,101.56,4
59.42,17.18,93.11,5.52,97.73,70.17,8.3,64.54,0
67.18,19.37,93.93,8.56,95.47,75.53,6.12,65.41,1
89.45,23.55,97.01,12.57,90.54,101.45,4.6,80.56,3
68.1,19.6,94.61,8.66,95.01,76.43,7.59,64.45,1
55.08,17.48,92.45,4.47,97.51,69.41,8.71,62.0,0
90.18,22.98,96.67,15.44,87.83,96.99,3.99,78.54,3
75.59,20.72,95.22,10.89,92.25,80.24,4.4,70.17,2
61.58,18.88,94.77,8.23,95.84,72.31,7.45,71.13,1
59.97,16.51,93.47,6.35,97.41,61.37,7.78,59.91,0
74.58,19.94,96.0,10.13,93.66,90.06,5.38,70.15,2
93.88,28.22,97.82,15.91,86.04,110.5,2.62,91.3,4
89.35,28.03,99.69,18.61,88.66,119.62,3.2,101.74,4
82.91,24.65,97.23,13.11,90.43,91.88,2.9,84.25,3
90.2,24.3,96.34,16.66,87.39,105.57,3.98,89.57,3
45.74,16.26,92.44,5.3,96.62,56.07,8.46,59.01,0
75.76,21.7,95.36,11.47,93.76,88.02,5.86,76.99,2
56.62,16.23,91.93,5.82,96.93,56.56,8.84,62.49,0
65.47,19.61,94.34,7.7,95.84,78.41,7.23,62.52,1
93.96,28.42,98.99,19.08,87.14,102.2,2.06,99.52,4
72.8,20.58,94.18,9.07,95.08,82.23,6.43,73.98,1
97.02,26.75,98.21,17.67,88.09,114.98,3.45,103.3,4
88.25,22.7,98.02,15.86,87.67,99.06,4.61,80.81,3
96.63,29.0,98.19,16.44,84.31,114.29,1.79,94.35,4
79.1,22.8,96.54,13.01,90.26,101.84,4.62,79.37,3
51.12,18.05,93.23,5.15,97.12,68.52,6.98,58.89,0
53.01,15.98,93.66,5.62,96.8,57.51,8.88,60.86,0
91.53,23.02,97.64,13.5,87.88,93.6,5.25,79.03,3
96.91,27.61,98.23,17.11,82.86,115.76,4.06,95.18,4
72.89,21.09,95.14,12.75,94.65,85.67,6.16,69.84,2
59.42,19.57,94.71,6.69,96.19,75.34,6.16,67.21,1
60.26,18.97,95.17,9.32,94.55,69.77,7.29,69.39,1
63.1,18.82,94.49,9.25,95.55,77.79,6.45,65.76,1
75.86,21.8,95.4,12.9,92.6,84.2,4.95,82.1,2
82.87,23.21,95.53,12.58,91.34,92.56,4.38,77.39,2
70.92,19.69,95.13,6.71,95.1,66.37,7.41,72.3,1
91.83,29.69,97.86,16.46,88.03,115.1,2.83,97.05,4
52.57,16.55,92.43,4.02,96.55,63.15,8.08,58.88,0
62.78,17.92,94.75,9.79,95.97,72.1,7.49,63.56,1
54.38,18.78,95.43,8.38,94.53,69.83,7.04,69.83,1
77.03,20.92,96.4,9.34,91.38,78.78,5.51,75.5,2
96.56,27.72,98.54,18.57,88.08,114.54,3.37,94.8,4
85.77,22.4,97.47,12.8,90.46,92.67,4.5,82.84,3
68.27,20.67,95.11,9.82,94.64,90.18,6.2,78.18,2
47.75,16.3,92.57,4.96,96.35,68.09,8.35,60.31,0
89.24,24.43,96.49,15.69,88.05,98.33,5.02,83.35,3
70.97,18.15,95.27,6.47,94.22,70.46,7.53,63.49,1
65.73,22.56,95.52,11.14,93.18,74.43,4.63,80.06,2
59.52,16.8,94.01,6.83,97.07,60.97,7.83,63.31,0
93.17,26.19,98.51,17.23,83.58,99.94,3.01,93.07,4
52.4,18.35,93.33,6.16,96.07,61.1,7.03,64.37,0
83.47,24.67,96.4,11.48,88.07,93.29,4.88,87.85,3
49.78,16.43,92.16,6.28,95.98,57.36,7.22,58.39,0
77.22,21.41,96.5,10.3,91.85,85.37,5.4,74.39,2
76.38,19.8,96.02,10.46,92.26,81.29,4.8,76.35,2
69.31,20.9,95.46,11.69,91.58,85.77,6.43,75.02,2
53.7,18.35,93.67,4.82,97.41,63.13,7.6,62.23,0
97.67,25.49,98.68,17.41,88.69,109.09,1.45,89.86,4
94.05,25.0,99.0,16.73,83.78,109.86,3.45,92.67,4
46.43,18.27,92.42,5.72,97.12,69.49,7.03,56.92,0
95.69,29.15,98.89,19.29,86.08,114.41,2.89,102.92,4
47.73,17.32,92.11,6.72,97.34,62.09,8.6,60.21,0
92.86,25.08,98.58,16.75,82.69,111.84,3.45,95.91,4
85.84,24.84,97.18,16.06,91.3,101.71,3.32,81.06,3
95.3,29.47,99.01,20.11,82.66,119.18,3.27,97.12,4
48.93,17.5,93.71,5.44,96.73,64.72,8.16,59.93,0
79.14,21.71,95.53,11.57,91.41,88.32,6.47,71.39,2
60.43,18.07,93.04,6.77,96.25,63.51,7.43,58.32,0
49.11,17.93,94.02,5.45,96.27,58.82,8.11,56.77,0
59.39,18.86,94.89,9.61,94.48,77.13,7.2,63.19,1
88.2,26.45,98.72,16.96,86.15,107.14,3.91,90.58,4
66.05,20.4,96.33,9.21,92.69,83.65,6.53,78.3,2
57.54,18.36,94.2,6.31,94.08,74.63,6.28,68.49,1
46.05,17.17,93.28,3.85,96.03,57.72,7.94,61.57,0
61.5,19.11,94.41,8.52,94.79,73.99,7.37,64.51,1
55.54,17.8,92.55,4.94,96.75,66.07,8.02,61.48,0
63.16,19.06,95.38,6.17,96.02,71.23,6.53,71.1,1
99.21,25.79,97.91,20.15,87.39,102.07,2.54,99.97,4
53.95,16.6,94.01,5.69,96.97,57.34,7.74,61.23,0
91.07,28.72,98.55,16.17,86.35,116.71,2.63,96.18,4
61.78,18.29,94.53,9.91,94.97,71.14,6.77,69.39,1
77.22,20.1,95.69,10.85,93.22,87.91,5.39,75.55,2
54.16,16.22,92.2,4.73,96.45,68.52,8.08,60.44,0
88.53,25.33,97.87,13.82,89.5,91.82,4.98,79.64,3
45.76,16.44,92.79,4.09,97.62,67.03,8.0,58.52,0
98.6,27.56,98.74,17.36,85.29,103.27,2.57,97.56,4
51.35,17.0,93.16,5.37,97.75,64.43,7.54,56.35,0
86.04,25.35,96.89,14.46,90.46,100.7,4.05,79.67,3
72.15,20.38,95.0,10.71,92.73,77.86,5.71,80.05,2
75.89,21.97,97.46,13.09,92.11,96.43,4.43,74.29,3
95.84,27.4,98.14,18.11,84.21,109.4,3.81,95.13,4
60.69,17.87,92.08,4.45,96.79,61.53,7.19,56.2,0
49.01,16.81,93.16,5.88,96.51,71.24,7.59,58.76,0
92.01,24.96,98.57,16.38,83.33,107.97,2.94,89.15,4
60.18,19.33,94.71,9.03,95.41,79.02,6.96,71.73,1
50.21,18.44,92.4,6.36,96.08,56.83,8.52,56.06,0
56.43,18.6,94.88,9.23,96.61,72.71,6.67,64.53,1
90.5,25.54,97.33,13.11,91.2,97.21,4.54,79.53,3
56.26,16.1,93.72,5.54,97.58,64.04,7.51,60.25,0
89.61,23.22,97.54,15.85,89.65,103.46,5.02,87.4,3
78.23,25.16,97.58,16.02,89.04,96.03,4.37,88.88,3
76.47,22.36,95.24,11.59,91.71,77.1,5.95,76.21,2
62.19,19.84,94.14,9.26,95.19,78.15,7.12,70.5,1
96.04,27.24,99.03,17.93,87.95,103.44,2.98,93.84,4
64.25,19.18,95.11,7.66,94.17,74.13,6.57,70.95,1
53.76,16.81,93.45,6.12,98.02,62.43,7.8,57.07,0
55.0,18.15,92.86,5.41,97.04,68.37,7.8,57.72,0
94.5,27.67,99.1,17.63,84.41,109.69,3.43,95.69,4
66.1,19.54,94.89,8.05,96.08,73.42,6.12,67.21,1
66.83,19.64,94.21,7.04,95.36,73.94,6.81,64.23,1
64.44,21.54,95.33,10.68,92.63,76.03,4.66,74.71,2
95.15,27.78,98.23,17.4,86.64,117.75,2.52,99.06,4
93.82,25.99,98.3,17.3,85.39,106.64,2.63,99.5,4
53.03,18.17,93.88,6.72,97.63,63.02,8.04,62.85,0
56.11,18.44,94.18,5.58,97.27,56.68,8.76,55.84,0
81.47,22.31,96.55,12.27,90.63,85.07,5.04,75.63,3
68.43,19.4,96.14,9.65,93.18,76.18,6.1,77.96,2
72.64,20.75,95.91,13.1,92.5,85.22,6.36,72.4,2
79.87,21.73,96.3,12.3,91.86,77.74,6.37,71.17,2
59.32,18.55,95.04,9.69,94.32,74.34,6.91,69.71,1
76.11,20.03,96.3,12.06,93.07,84.45,5.13,76.19,2
64.62,21.44,96.49,10.06,92.97,90.63,5.35,79.95,2
79.34,24.33,97.52,14.5,88.88,97.89,4.63,83.43,3
79.48,21.68,95.16,9.19,91.82,89.41,5.03,78.22,2
88.64,25.47,99.5,18.77,85.21,119.35,2.21,94.53,4
93.82,26.24,97.89,18.84,82.14,107.64,3.81,88.2,4
67.05,20.91,96.03,11.25,94.95,86.58,5.89,75.71,2
69.27,18.16,94.47,7.33,94.31,79.08,6.37,61.96,1
61.84,19.05,94.63,6.73,94.84,70.27,7.44,65.81,1
98.57,28.3,99.59,19.87,89.24,103.21,2.19,94.34,4
62.67,19.69,94.15,9.06,95.12,76.36,6.43,69.04,1
65.57,22.23,96.22,10.18,93.96,82.19,4.81,70.28,2
73.62,21.07,96.53,12.14,93.14,79.03,5.65,78.17,2
68.58,21.77,95.78,11.36,94.29,84.97,5.68,72.82,2
89.09,24.51,97.81,16.96,87.99,106.34,3.3,91.38,4
81.1,23.55,97.14,14.38,88.34,92.58,3.67,84.68,3
65.4,18.79,94.73,8.78,95.48,65.13,6.32,69.37,1
55.84,19.09,95.23,8.33,95.19,76.01,6.44,62.29,1
91.27,22.11,96.33,15.75,87.36,92.27,3.16,78.95,3
47.57,17.82,93.6,5.04,97.55,54.92,6.93,57.56,0
68.94,19.53,95.01,9.7,95.8,68.16,7.12,69.26,1
81.1,23.1,97.09,16.24,90.95,99.41,4.87,88.04,3
95.31,28.01,98.19,19.28,83.32,111.99,2.53,95.77,4
88.34,24.6,97.09,15.45,88.13,94.56,3.84,82.6,3
48.3,17.46,93.89,6.86,97.17,66.61,8.39,62.93,0
96.18,28.01,99.53,18.85,84.68,107.81,3.03,103.93,4
56.31,19.73,94.76,9.12,95.38,71.35,7.03,62.41,1
64.95,21.61,95.13,11.14,92.69,87.51,6.46,71.55,2
90.75,22.28,96.11,11.42,90.56,91.61,3.32,84.12,3
56.93,17.51,92.88,5.93,96.98,64.02,7.9,56.57,0
86.54,24.62,96.52,13.65,89.1,88.35,4.17,87.91,3
55.26,18.01,93.41,5.27,97.71,65.53,8.71,63.85,0
66.87,20.63,94.94,12.16,93.05,77.28,6.1,71.34,2
50.08,17.7,92.87,5.41,96.62,54.69,7.3,60.13,0
57.85,17.14,92.35,5.56,97.26,55.74,7.43,57.12,0
58.26,16.32,92.28,6.45,96.19,58.67,8.56,59.52,0
92.56,29.33,98.34,16.13,84.26,120.0,1.57,100.46,4
57.79,18.64,94.78,8.75,94.58,66.18,7.55,65.5,1
57.41,17.28,93.35,5.55,97.55,66.75,7.3,58.05,0
57.1,18.85,95.25,9.68,95.9,68.87,6.38,69.0,1
82.08,22.72,96.98,12.65,89.68,95.26,4.68,79.98,3
59.85,18.42,94.48,9.59,93.88,69.58,7.49,67.06,1
59.69,19.88,94.89,8.39,94.31,73.55,6.98,68.12,1
68.72,21.67,96.13,11.64,93.33,85.14,5.47,71.08,2
69.04,19.98,93.94,9.86,94.74,65.9,6.56,65.46,1
80.51,21.95,97.98,15.46,91.18,100.0,4.5,86.81,3
88.47,22.52,97.62,13.87,89.14,100.93,5.13,80.38,3
79.65,22.18,95.09,11.12,93.31,84.03,6.19,73.07,2
54.82,16.99,93.18,6.97,97.84,55.6,7.55,56.61,0
93.26,27.86,99.1,17.27,83.79,117.69,3.74,95.8,4
56.92,19.38,94.99,7.89,94.23,77.62,7.27,63.97,1
74.47,20.37,96.76,13.02,94.29,88.6,5.76,78.38,2
70.44,20.71,95.63,9.42,92.28,85.36,6.2,77.38,2
88.72,22.51,97.6,12.3,86.86,97.18,5.2,77.8,3
94.68,27.55,97.95,16.04,84.21,119.55,3.06,100.29,4
76.9,21.79,95.79,10.56,91.92,76.11,4.98,73.11,2
93.91,26.52,98.1,18.69,83.32,104.37,3.22,97.48,4
90.68,27.1,98.77,16.95,85.12,103.98,2.83,87.65,4
73.52,21.02,96.25,9.26,91.45,86.51,5.35,77.31,2
47.23,17.04,92.56,4.73,97.16,62.08,6.97,55.44,0
68.72,18.77,95.03,8.18,96.05,75.45,6.39,64.34,1
62.08,18.39,95.4,7.11,94.38,68.81,6.86,71.38,1
63.48,18.33,95.0,9.52,95.34,76.73,6.09,63.55,1
84.2,22.88,97.7,13.54,89.64,100.3,4.08,87.18,3
56.46,17.87,93.02,6.94,97.76,65.77,8.5,60.63,0
94.88,25.21,98.18,16.73,88.15,117.0,1.65,93.83,4
76.74,23.26,97.4,16.08,87.63,89.13,4.46,87.87,3
72.43,21.9,95.3,10.8,93.44,86.67,4.8,70.56,2
83.82,24.04,97.11,13.41,89.99,97.96,4.85,82.02,3
56.53,17.48,94.24,4.57,97.47,60.68,8.84,56.34,0
67.14,21.39,96.64,9.21,91.46,86.15,5.88,76.1,2
91.64,29.35,99.24,17.1,84.7,110.48,2.51,92.28,4
77.58,21.53,95.49,12.47,91.78,76.37,5.53,79.18,2
52.95,17.01,93.35,4.41,97.25,64.33,8.43,60.52,0
76.95,20.86,94.99,12.45,91.45,89.19,5.11,76.37,2
55.28,18.25,93.43,6.01,96.3,62.07,6.94,64.59,0
66.59,18.72,94.87,9.11,95.42,76.03,6.59,64.03,1
51.21,18.17,92.08,6.02,97.38,67.22,8.13,58.52,0
79.25,23.66,96.92,14.29,90.91,88.86,3.07,85.94,3
80.61,24.4,96.89,12.21,88.03,98.1,4.92,83.79,3
97.28,27.74,98.28,17.44,86.99,106.46,3.27,96.83,4
72.13,21.41,95.19,9.04,95.17,82.49,5.69,75.16,2
89.8,26.3,98.58,16.39,89.07,111.73,3.44,90.11,4
88.77,28.24,98.26,18.09,84.68,108.16,2.8,95.36,4
85.34,23.78,97.02,15.42,89.33,99.79,3.43,87.7,3
99.93,27.17,97.48,17.71,83.64,115.52,4.08,95.52,4
51.08,17.41,94.07,5.71,97.51,68.12,7.41,59.78,0
57.05,17.36,94.25,4.71,96.16,63.36,7.21,59.03,0
79.8,25.03,97.74,12.29,88.28,100.45,4.76,79.61,3
59.5,16.41,93.85,5.38,97.23,70.57,7.68,64.03,0
93.64,27.89,99.46,16.4,85.22,100.64,2.45,100.04,4
58.6,17.63,94.0,7.88,96.47,62.85,7.08,60.32,1
91.32,24.75,98.9,18.02,87.7,107.44,3.02,93.14,4
73.77,20.38,95.81,12.19,94.03,85.72,5.58,79.95,2
91.15,25.8,97.61,15.05,85.41,108.97,2.52,91.43,3
54.82,19.61,93.94,8.44,95.58,78.44,6.65,71.96,1
